uid,random_state,k,final_k,allow_explanations,num_prompts,temperature,selection_style,prompt_style,embedding_level,title_threshold,min_sim_quantile,model,usage,unmatched_count,like_example_size,like_feedback_size,like_eval_size,dislike_example_size,dislike_feedback_size,dislike_eval_size,recall_final,precision_final,ndcg_final,ils_final,ap_final,dq_final
15783,22222,10,20,False,1,0.0,stratified,zero,4,0.75,0.99,nmf-item,0,0,10,143,76,10,48,28,0.0921052631578947,0.15,0.1112013984402418,0.7750942816843966,0.0709284310890348,0.0
15783,22222,10,20,False,1,0.0,stratified,zero,4,0.75,0.99,nmf-item,0,0,10,143,76,10,48,28,0.0921052631578947,0.15,0.1112013984402418,0.7750942816843966,0.0709284310890348,0.0
15783,22222,10,20,False,1,0.0,stratified,zero,4,0.75,0.99,nmf-item,0,0,10,143,76,10,48,28,0.0921052631578947,0.15,0.1112013984402418,0.7750942816843966,0.0709284310890348,0.0
32308,22222,10,20,False,1,0.0,stratified,zero,4,0.75,0.99,nmf-item,0,0,10,144,76,10,141,75,0.1052631578947368,0.05,0.0340629722559825,0.7770628480659378,0.0108505331957344,0.0
32308,22222,10,20,False,1,0.0,stratified,zero,4,0.75,0.99,nmf-item,0,0,10,144,76,10,141,75,0.1052631578947368,0.05,0.0340629722559825,0.7770628480659378,0.0108505331957344,0.0
32308,22222,10,20,False,1,0.0,stratified,zero,4,0.75,0.99,nmf-item,0,0,10,144,76,10,141,75,0.1052631578947368,0.05,0.0340629722559825,0.7770628480659378,0.0108505331957344,0.0
33943,22222,10,20,False,1,0.0,stratified,zero,4,0.75,0.99,nmf-item,0,0,10,144,76,10,15,12,0.0657894736842105,0.2,0.1538146573069561,0.7754091557872306,0.114745789126594,0.0
33943,22222,10,20,False,1,0.0,stratified,zero,4,0.75,0.99,nmf-item,0,0,10,144,76,10,15,12,0.0657894736842105,0.2,0.1538146573069561,0.7754091557872306,0.114745789126594,0.0
33943,22222,10,20,False,1,0.0,stratified,zero,4,0.75,0.99,nmf-item,0,0,10,144,76,10,15,12,0.0657894736842105,0.2,0.1538146573069561,0.7754091557872306,0.114745789126594,0.0
66390,22222,10,20,False,1,0.0,stratified,zero,4,0.75,0.99,nmf-item,0,0,10,144,77,10,60,34,0.0389610389610389,0.1,0.0701717209340216,0.7762710576741816,0.0298580278940186,0.0
66390,22222,10,20,False,1,0.0,stratified,zero,4,0.75,0.99,nmf-item,0,0,10,144,77,10,60,34,0.0389610389610389,0.1,0.0701717209340216,0.7762710576741816,0.0298580278940186,0.0
66390,22222,10,20,False,1,0.0,stratified,zero,4,0.75,0.99,nmf-item,0,0,10,144,77,10,60,34,0.0389610389610389,0.1,0.0701717209340216,0.7762710576741816,0.0298580278940186,0.0
38927,22222,10,20,False,1,0.0,stratified,zero,4,0.75,0.99,nmf-item,0,0,10,145,77,10,24,17,0.1688311688311688,0.35,0.3527002868487428,0.7726968694115651,0.3902085053749141,0.0
38927,22222,10,20,False,1,0.0,stratified,zero,4,0.75,0.99,nmf-item,0,0,10,145,77,10,24,17,0.1688311688311688,0.35,0.3527002868487428,0.7726968694115651,0.3902085053749141,0.0
