uid,random_state,k,final_k,allow_explanations,num_prompts,temperature,selection_style,prompt_style,embedding_level,title_threshold,min_sim_quantile,model,usage,unmatched_count,like_example_size,like_feedback_size,like_eval_size,dislike_example_size,dislike_feedback_size,dislike_eval_size,recall_final,precision_final,ndcg_final,ils_final,ap_final,dq_final,novelty,popular
22035,22222,10,20,False,5,0.0,stratified,zero,4,0.75,0.99,gpt,1642,4,10,148,78,10,20,14,0.2692307692307692,0.7368421052631579,0.7451679976342762,0.719801520763493,0.746394203129986,0.7894736842105263,0.3541520467836256,0.0
22035,22222,10,20,False,5,0.0,stratified,zero,4,0.75,0.99,gpt,1776,20,10,148,78,10,20,14,0.2179487179487179,0.6842105263157895,0.6053484900828887,0.733583144520268,0.5830230037375221,1.0,0.3609356725146199,0.0
60863,22222,10,20,False,5,0.0,stratified,zero,4,0.75,0.99,gpt,1783,1,10,146,77,10,69,39,0.1948051948051948,0.3,0.2562689257377352,0.7834667125050716,0.2217640924606868,0.95,0.4560451977401131,0.0
69716,22222,10,20,False,5,0.0,stratified,zero,4,0.75,0.99,gpt,1787,1,10,147,78,10,36,23,0.0897435897435897,0.3,0.2477945449315745,0.711367540187953,0.2268662767830724,0.75,0.3966101694915254,0.0
69716,22222,10,20,False,5,0.0,stratified,zero,4,0.75,0.99,gpt,1820,13,10,147,78,10,36,23,0.0384615384615384,0.05,0.0549485880719858,0.1892013257641531,0.0757203161905174,0.5,0.4755932203389831,0.0
12986,22222,10,20,False,5,0.0,stratified,zero,4,0.75,0.99,gpt,1540,0,10,150,80,10,16,13,0.2875,0.7894736842105263,0.8150110308284247,0.7927465273150731,0.8428340366746755,0.5789473684210527,0.2233816425120773,0.0
19741,22222,10,20,False,5,0.0,stratified,zero,4,0.75,0.99,gpt,1700,3,10,150,80,10,82,45,0.1375,0.1764705882352941,0.1553708265793361,0.8006293967232931,0.1477492999119296,0.2352941176470588,0.5242222222222224,0.0
19741,22222,10,20,False,5,0.0,stratified,zero,4,0.75,0.99,gpt,1700,3,10,150,80,10,82,45,0.1375,0.1764705882352941,0.1553708265793361,0.8006293967232931,0.1477492999119296,0.2352941176470588,0.5242222222222224,0.0
12986,22222,10,20,False,5,0.0,stratified,zero,4,0.75,0.99,gpt,1742,1,10,150,80,10,16,13,0.275,0.7368421052631579,0.7763661080236539,0.7090330297096276,0.8179363305931662,0.631578947368421,0.2733333333333333,0.0
12986,22222,10,20,False,5,0.0,stratified,zero,4,0.75,0.99,gpt,1744,0,10,150,80,10,16,13,0.3,0.7894736842105263,0.8115674309078722,0.7932288943319636,0.8267263655360446,0.631578947368421,0.2688888888888888,0.0
8858,22222,10,20,False,5,0.0,stratified,zero,4,0.75,0.99,gpt,1527,0,10,150,80,10,16,13,0.1875,0.4,0.3875436642509443,0.7906613268316783,0.4176054088670188,0.95,0.1814689265536722,0.0
19741,22222,10,20,False,5,0.0,stratified,zero,4,0.75,0.99,gpt,1726,1,10,150,80,10,82,45,0.0875,0.25,0.3242178025131059,0.7990917516745168,0.3702549072015016,0.55,0.5494444444444445,0.0
31193,22222,10,20,False,5,0.0,stratified,zero,4,0.75,0.99,gpt,1823,1,10,150,79,10,45,27,0.240506329113924,0.45,0.4312743729888738,0.8049700410863885,0.4348630561904555,1.0,0.4953333333333335,0.0
31193,22222,10,20,False,5,0.0,stratified,zero,4,0.75,0.99,gpt,1807,1,10,150,79,10,45,27,0.2531645569620253,0.5,0.5577923071234191,0.8056062627977784,0.6057671959103849,1.0,0.5124444444444446,0.0
8858,22222,10,20,False,5,0.0,stratified,zero,4,0.75,0.99,gpt,1739,0,10,150,80,10,16,13,0.1875,0.5,0.5847925402926197,0.7887308556313356,0.6424601761327768,0.75,0.2663276836158192,0.0
